Question Number,Question (English),Question (Hindi),Option A (English),Option A (Hindi),Option B (English),Option B (Hindi),Option C (English),Option C (Hindi),Option D (English),Option D (Hindi),Correct Answer (English),Correct Answer (Hindi)
106,"Among the following whose name will not figure in the access control stop list?","निम्नलिखित में से किसका नाम एक्सेस कंट्रोल स्टॉप सूची में नहीं होगा?","person who have lost his AEP","","Person who has been blacklisted by the airport","","Person whose AEP has been stolen","","Person without ticket","","Person without ticket",""
107,"Airside access control point of cargo premises shall be guarded by?","कार्गो परिसर के एयरसाइड प्रवेश नियंत्रण बिंदु की सुरक्षा किसके द्वारा की जाएगी?","Regulated agent","","Airlines Operator","","ASG/APSU","","Airport operator","","ASG/APSU",""
108,"UVSS is an equipment which is used for the inspection of the?","UVSS एक उपकरण है जिसका उपयोग किसके निरीक्षण के लिए किया जाता है?","Passengers","","Cargo","","Catering supplies","","Vehicles","","Vehicles",""
109,"Among the following which is not an objective of security guarding at airports?","निम्नलिखित में से कौन सा हवाई अड्डों पर सुरक्षा का उद्देश्य नहीं है?","Protect vulnerable/vital airport facilities","संवेदनशील/महत्वपूर्ण हवाईअड्डा सुविधाओं की सुरक्षा करना","Control the movement of people and vehicles","लोगों और वाहनों की आवाजाही को नियंत्रित करना","Deter and prevent attack against airport facilities","हवाईअड्डा सुविधाओं पर हमले को रोकना","To provide free access to general public","आम जनता को मुफ्त पहुंच प्रदान करना","To provide free access to general public","आम जनता को मुफ्त पहुंच प्रदान करना"
110,"Among the following who cannot pose insider threat?","निम्नलिखित में से कौन अंदरूनी खतरा पैदा नहीं कर सकता है?","Airline employees","","Taxi cab and other transportation specialists","","Construction and maintenance crew at airports","","Passengers","","Passengers",""
111,"Maximum weight of postal mail is?","","500 gm","","250 gm","","200 gm","","300 gm","","200 gm",""
112,"What is the primary security concern with the catering supplies?","खानपान आपूर्ति के संबंध में प्राथमिक सुरक्षा चिंता क्या है?","Poor food quality","","Theft of food items","","Delays in meal preparation","","Introduction of prohibited item or IEDS","","Introduction of prohibited item or IEDS",""
113,"The area between screening check point and boarding gate into which access is controlled and additional security measures are applied is known as?","स्क्रीनिंग चेक प्वाइंट और बोर्डिंग गेट के बीच का क्षेत्र जिसमें प्रदेश नियंत्रित होता है और अतिरिक्त सुरक्षा उपाय लागू होते हैं. क्या कहलाता है?","Controlled Area","","Restricted Area","","Forecourt Area","","Security Hold Area","","Security Hold Area",""
114,"What is not true regarding the carriage of live animals?","जीवित पशुओं को ले जाने के संबंध में क्या सत्य नहीं है?","Live animal not to be put through X_Ray","","Live animal may be carried as cargo or registered baggage","","Certificate from physician","","Cage/Box to be examined either physically or X-ray","","Certificate from physician",""
115,"Two main functions of preventative cargo security measures are?","निवारक कार्गो सुरक्षा उपायों के दो मुख्य कार्य हैं?","X-ray and physical check","","Deter and Detect","","Baseline and high risk","","Detect and React","","Deter and Detect",""
116,"Among the following who is a aware passenger?","","Naive","","Partly Naive","","Framed Terrorist","","Suicidal Terrorist","","Suicidal Terrorist",""
117,"All passengers can be classified as and based on the suspicious sign in appearance and behaviour displayed by them?","सभी यात्रियों को उनके द्वारा प्रदर्शित संदिग्ध उपस्थिति और व्यवहार के आधार पर और के रूप में वर्गीकृत किया जा सकता है?","Aware and Unaware","","Naive and partly naïve","","Terrorist and hijacker","","Threatning and non-threatning","","Threatning and non-threatning",""
118,"What are the equipments or tools used for profiling?","","X-BIS","","Metal detectors","","Biometrics","","All the above","","All the above",""
119,"Who will guard at entry/exit to cargo complex and sterile area beyond cargo screening points at the airport ?","हवाई अड्डे पर कार्गो स्क्रीनिंग बिंदुओं से परे कार्गो कॉम्प्लेक्स और बाँझ क्षेत्र में प्रवेश / निकास पर कौन पहरा देगा?","Regulate agent","","APSU/ASG","","Airline","","local police","","APSU/ASG",""
120,"Attack by magnetic system comes under which type of threat?","","Conventional threat","","New and Emerging","","Traditional threat","","Modern threat","","New and Emerging",""
